word,sentiment,intensity,valence
妖孽,Disgust,7,-1
骚货,Disgust,9,-1
中伤,Disgust,5,-1
嘈杂,Disgust,1,-1
苦恼,Disgust,5,0
犯愁,Disgust,1,0
颓然,Disgust,1,0
忍气吞声,Disgust,7,0
不耐烦,Disgust,5,0
焦炙,Disgust,7,0
疑念,Disgust,1,0
愧恨,Disgust,7,0
沉寂,Disgust,7,0
愁肠寸断,Disgust,9,-1
忧心如薰,Disgust,7,-1
生吞蜈蚣－百爪挠心,Disgust,9,-1
贫穷,Disgust,5,0
无所措手足,Disgust,5,-1
不如意事常八九,Disgust,3,-1
燥热,Disgust,3,-1
将就,Disgust,1,0
羞愧,Fear,5,0
脸红,Fear,3,0
无面目见江东父老,Fear,9,-1
抱愧,SadDisgustss,3,0
愧怍,SadDisgustss,5,0
悔恨,SadDisgustss,9,0
涵容,Awe,1,0
愧悔无地,SadDisgustss,9,0
船到江心补漏迟,SadDisgustss,9,-1
慌乱,Fear,7,0
如坐针毡,Disgust,7,0
心焦,Disgust,5,0
张皇,Fear,3,-1
浮躁,Disgust,5,-1
周章,Disgust,3,0
心如悬旌,Fear,5,-1
鞋里长草－慌了脚,Fear,3,0
紧急,Fear,3,0
五色无主,Fear,7,0
脚忙手乱,Fear,5,-1
心如火焚,Disgust,9,-1
死心,SadDisgustss,9,0
心灰意冷,SadDisgustss,5,0
不可企及,SadDisgustss,7,-1
怀揣冰棍－凉透心,SadDisgustss,9,0
嫉妒,Disgust,7,-1
醋意,Disgust,1,-1
忧人发迹怕自穷,Fear,1,0
猜忌,Disgust,5,-1
疑团,Disgust,7,0
田里的蚯蚓－满肚疑,Disgust,1,0
败家子,Disgust,7,-1
闭门造车,Disgust,5,-1
草包,Disgust,7,-1
乘人之危,Disgust,5,-1
记仇,Disgust,5,-1
妄求,Disgust,3,-1
累世通好,Awe,5,1
人浮于事,Disgust,7,-1
繁荣昌盛,Awe,7,1
鸿均之世,Awe,5,1
年丰时稔,Awe,5,1
五风十雨,Awe,5,1
分崩离析,SadDisgustss,5,-1
人欲横流,Disgust,7,-1
拨乱反治,Awe,5,1
秋荼密网,Disgust,5,-1
抑塞磊落,Awe,3,1
鞭笞天下,Awe,7,1
腹中兵甲,Awe,7,1
牛刀小试,Awe,3,1
臣门如市，臣心如水,Awe,7,1
欺瞒夹账,Disgust,9,-1
卖官鬻狱,Disgust,9,-1
口快心直,Awe,1,1
夺人所好,Disgust,7,-1
营私舞弊,Disgust,7,-1
缓急相济,Awe,3,1
久要不忘,Awe,7,1
言而不渝,Awe,7,1
